Scopus SourceID,Quartile,Top 10% (CiteScore Percentile)
4700152228,Quartile 1,Top 10%
4700152228,Quartile 1,Top 10%
4700152228,Quartile 1,
19700176402,Quartile 1,Top 10%
4000148205,Quartile 1,Top 10%
4000148205,Quartile 1,Top 10%
15819,Quartile 1,Top 10%
15819,Quartile 1,Top 10%
26556,Quartile 1,Top 10%
26556,Quartile 1,Top 10%
26556,Quartile 1,Top 10%
144840,Quartile 1,Top 10%
19300156903,Quartile 1,Top 10%
19300156903,Quartile 1,Top 10%
19300156903,Quartile 1,Top 10%
12977,Quartile 1,Top 10%
12977,Quartile 1,Top 10%
12977,Quartile 1,Top 10%
12977,Quartile 1,
18555,Quartile 1,Top 10%
12402,Quartile 1,Top 10%
12402,Quartile 1,Top 10%
12402,Quartile 1,Top 10%
12402,Quartile 1,Top 10%
17421,Quartile 1,Top 10%
17421,Quartile 1,Top 10%
17421,Quartile 1,Top 10%
17421,Quartile 1,Top 10%
17435,Quartile 1,Top 10%
17435,Quartile 1,Top 10%
17435,Quartile 1,Top 10%
17435,Quartile 1,
25781,Quartile 1,Top 10%
26746,Quartile 1,Top 10%
26746,Quartile 1,Top 10%
27476,Quartile 1,Top 10%
27476,Quartile 1,Top 10%
27476,Quartile 1,Top 10%
27476,Quartile 1,Top 10%
27476,Quartile 1,Top 10%
22401,Quartile 1,Top 10%
16594,Quartile 1,Top 10%
16594,Quartile 1,Top 10%
16115,Quartile 1,Top 10%
16115,Quartile 1,Top 10%
16115,Quartile 1,Top 10%
16115,Quartile 1,Top 10%
16115,Quartile 1,Top 10%
12854,Quartile 1,Top 10%
12854,Quartile 1,Top 10%
22005,Quartile 1,Top 10%
22005,Quartile 1,Top 10%
22005,Quartile 1,Top 10%
3200147828,Quartile 1,Top 10%
3200147828,Quartile 1,Top 10%
3200147828,Quartile 1,Top 10%
14272,Quartile 1,Top 10%
14272,Quartile 1,Top 10%
14272,Quartile 1,Top 10%
9500153903,Quartile 1,Top 10%
9500153903,Quartile 1,Top 10%
25037,Quartile 1,Top 10%
25037,Quartile 1,Top 10%
25037,Quartile 1,Top 10%
28200,Quartile 1,Top 10%
28200,Quartile 1,Top 10%
28200,Quartile 1,Top 10%
28200,Quartile 1,Top 10%
28200,Quartile 1,Top 10%
5400152708,Quartile 1,Top 10%
5400152708,Quartile 1,Top 10%
27130,Quartile 1,Top 10%
27130,Quartile 1,Top 10%
27130,Quartile 1,Top 10%
27130,Quartile 1,Top 10%
14308,Quartile 1,Top 10%
18457,Quartile 1,Top 10%
18457,Quartile 1,Top 10%
7500153133,Quartile 1,Top 10%
7500153133,Quartile 1,Top 10%
7500153133,Quartile 1,Top 10%
22080,Quartile 1,Top 10%
22080,Quartile 1,Top 10%
26533,Quartile 1,Top 10%
26533,Quartile 1,Top 10%
26533,Quartile 1,
14151,Quartile 1,Top 10%
14151,Quartile 1,Top 10%
14151,Quartile 1,Top 10%
29183,Quartile 1,Top 10%
29183,Quartile 1,Top 10%
27514,Quartile 1,Top 10%
27514,Quartile 1,Top 10%
27514,Quartile 1,Top 10%
27514,Quartile 1,Top 10%
27514,Quartile 1,Top 10%
14204,Quartile 1,Top 10%
17596,Quartile 1,Top 10%
17596,Quartile 1,
21119,Quartile 1,Top 10%
21119,Quartile 1,Top 10%
21119,Quartile 1,Top 10%
21119,Quartile 1,Top 10%
29263,Quartile 1,Top 10%
29263,Quartile 1,Top 10%
21938,Quartile 1,Top 10%
17915,Quartile 1,Top 10%
25122,Quartile 1,Top 10%
25122,Quartile 1,Top 10%
15579,Quartile 1,Top 10%
15579,Quartile 1,Top 10%
15579,Quartile 1,Top 10%
20862,Quartile 1,Top 10%
20862,Quartile 1,Top 10%
20862,Quartile 1,Top 10%
20862,Quartile 1,Top 10%
26053,Quartile 1,Top 10%
26053,Quartile 1,Top 10%
26053,Quartile 1,Top 10%
17378,Quartile 1,Top 10%
17378,Quartile 1,Top 10%
14179,Quartile 1,Top 10%
14179,Quartile 1,Top 10%
19353,Quartile 1,Top 10%
25487,Quartile 1,Top 10%
25487,Quartile 1,Top 10%
14992,Quartile 1,Top 10%
19669,Quartile 1,Top 10%
19669,Quartile 1,Top 10%
19669,Quartile 1,Top 10%
4000151808,Quartile 1,Top 10%
4000151808,Quartile 1,Top 10%
4000151808,Quartile 1,Top 10%
4000151808,Quartile 1,Top 10%
4000151808,Quartile 1,Top 10%
16764,Quartile 1,
4400151524,Quartile 1,Top 10%
4400151524,Quartile 1,Top 10%
17269,Quartile 1,Top 10%
19700175113,Quartile 1,Top 10%
19700175113,Quartile 1,Top 10%
19700188418,Quartile 1,Top 10%
19700188418,Quartile 1,Top 10%
19700188418,Quartile 1,Top 10%
12812,Quartile 1,Top 10%
18988,Quartile 1,Top 10%
18988,Quartile 1,Top 10%
19370,Quartile 1,Top 10%
72242,Quartile 1,Top 10%
72242,Quartile 1,Top 10%
72242,Quartile 1,Top 10%
