,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI,Q1,Q2,Q3,Q4,Top10
70,Country: Singapore,Year: 1995,Num of Systems: 8,RMax: 8,RPeak: 8,Total Cores: 8,GDPpC: 5,HDI: 9,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
71,Country: Slovenia,Year: 1995,Num of Systems: 10,RMax: 9,RPeak: 7,Total Cores: 6,GDPpC: 9,HDI: 8,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
72,Country: Spain,Year: 1995,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 8,HDI: 7,Q1: 4,Q2: 4,Q3: 4,Q4: 4,Top10: 4
73,Country: Norway,Year: 1995,Num of Systems: 6,RMax: 7,RPeak: 7,Total Cores: 4,GDPpC: 2,HDI: 1,Q1: 8,Q2: 9,Q3: 9,Q4: 9,Top10: 8
74,Country: Greece,Year: 1995,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 8,HDI: 9,Q1: 9,Q2: 9,Q3: 9,Q4: 9,Top10: 9
75,Country: Belgium,Year: 1995,Num of Systems: 7,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 4,HDI: 3,Q1: 6,Q2: 6,Q3: 6,Q4: 6,Top10: 5
76,Country: Brazil,Year: 1995,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 9,HDI: 10,Q1: 9,Q2: 8,Q3: 7,Q4: 6,Top10: 9
77,Country: Poland,Year: 1995,Num of Systems: 5,RMax: 7,RPeak: 8,Total Cores: 7,GDPpC: 10,HDI: 9,Q1: 7,Q2: 6,Q3: 6,Q4: 5,Top10: 8
78,Country: Japan,Year: 1996,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 1,HDI: 3,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
79,Country: United States,Year: 1996,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 3,HDI: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
80,Country: United Kingdom,Year: 1996,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 6,HDI: 4,Q1: 1,Q2: 1,Q3: 2,Q4: 2,Top10: 1
81,Country: France,Year: 1996,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 4,HDI: 5,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
82,Country: Germany,Year: 1996,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 3,HDI: 4,Q1: 2,Q2: 2,Q3: 1,Q4: 1,Top10: 2
